Review,author,date,rating,restaurant
"[""Unbelievable! \xa0When I went to Clemson, the food was pretty standard. \xa0Yolk increases the value of the Clemson experience. \xa0Authentic Asian hotpot I'm Clemson - who would have known?!"", 'A MUST VISIT!!!!']",['Tony F.'],['\n        5/18/2019\n    '],['5.0 star rating'],"['Yolk Asian', 'Kitchen']"
"['I love this place. Great value and great food. Just read the menu before going because it can be intimidating. ', 'Also be prepared to find the kiosks of iPads in the middle of the room to order. Due to minimal staff, nobody really has time to talk or show you anything. ', ""Other than that, it's no surprise this is always hovering around #1 on yelp!""]",['Jeffery H.'],['\n        5/13/2019\n    '],['4.0 star rating'],"['Yolk Asian', 'Kitchen']"
"['Truly a hidden gem amongst the chains along Tiger Boulevard, Yolk serves up unique, well-portioned, and tasty ~asian~ bowls -- all topped with a fried/sunny side up egg.', 'Personally, I order the Tiger, which includes their spicy kimchi, spicy pork, and avocado, along with one of their sweet (green) teas. The food comes served in a sizzling bowl atop a wooden platter and is best enjoyed with a splash of soy sauce and generous helping of siracha.']",['Doug S.'],['\n        3/31/2019\n    '],['5.0 star rating'],"['Yolk Asian', 'Kitchen']"
"[""Yolk is honestly my favorite restaurant in the entire Clemson area and they are always amazingly tasty. My favorite thing to get is the mushroom bi bim bop, but when they're out I love the green bowl. They also make their own ginger soda""]",['Sam S.'],"['\n        7/26/2019\n            ', '\n                ', '\n    ', '\n        ', '\n    ', '\n', '\n                ', 'Updated review', '\n            ', '\n    ', '\n            5/13/2019\n            ', '\n                ', 'Previous review', '\n            ', '\n        ']","['5.0 star rating', '5.0 star rating']","['Yolk Asian', 'Kitchen']"
"[""YUM! \xa0We go here every chance we get when visiting. \xa0The ordering process is a little unorthodox, have someone save a table while you order at the computers. \xa0There isn't much seating available. \xa0Go just before or after the lunch rush!""]",['Scott S.'],['\n        6/15/2019\n    '],['5.0 star rating'],"['Yolk Asian', 'Kitchen']"
"['I have been to Yolk more times than I can count, and I am always happy with my meal. You can choose between white rice, brown rice, and lettuce as the base of your bowl, then select the toppings you would like. The rice is perfectly fried, the meat is never dry, and the vegetables are still kind of crunchy. The restaurant is family owned, and I find the servers very polite and efficient. Their noodles and BBQ are also good, but the bowls are the highlight. The only downside is that the electronic ordering system can be hard to work. Overall, I would recommend Yolk if you are looking for a causal place to enjoy some great Asian food. The setting is informal, so this is not the best place for, say, a business meeting.']",['Clare B.'],['\n        6/16/2019\n    '],['5.0 star rating'],"['Yolk Asian', 'Kitchen']"
"['Had the Tiger and it was delicious. Did not have places like this when I was at Clemson, glad to see it.']",['Jim A.'],['\n        7/3/2019\n    '],['5.0 star rating'],"['Yolk Asian', 'Kitchen']"
"['Really love this place and the food. Come here often and enjoy myself every time. ', ""I will say -they just started a new kiosk ordering system that I didn't enjoy. It didn't feel very user friendly, was slightly confusing, and it made getting drinks/food at the same time as other party members very difficult.""]",['Rebecca W.'],['\n        2/3/2019\n    '],['5.0 star rating'],"['Yolk Asian', 'Kitchen']"
"['Not impressed. Most meals are served in a heated bowl. We tried 2 different items, one recommended by a by-standing patron and another by an employee. We found each pretty flavorless and the servings small. The 6"" ID or so bowl had 3 separate items with a large base of rice. (If you don\'t mix your meal immediately, the rice at the bottom burns.) For similar money, we\'ll hit the hibachi at the China buffet across the street next time. Also, you have to enter your own order on kiosks squeezed between the tables. A lot of pressure to order when there is a line forming behind you. Better to view their menu online and make your choices before entering. Also $$$ for what you get. The whole experience seemed rushed and very impersonal. May\'s Asian Biestro that was there before was 1000x better. Won\'t be back.']",['Barry S.'],['\n        4/30/2019\n    '],['2.0 star rating'],"['Yolk Asian', 'Kitchen']"
"[""Fantastic Korean street food. Be prepared to spend a while, since they make bowls to order, and do only a few burners. It's definitely low ambience instead of super fancy, and you don't get pickles or anything with the bowl, but that doesn't matter - you get insanely delicious food!""]",['Matt T.'],['\n        4/13/2019\n    '],['5.0 star rating'],"['Yolk Asian', 'Kitchen']"
['Awesome little hole in the wall in Clemson! The menu is hand written on the chalkboard and so many things sounded so good it was hard to pick just one. We got the Clemson and Tiger bowl and both were really tasty. I tried their homemade Kombucha and it was interesting.'],['Amy P.'],['\n        7/23/2018\n    '],['5.0 star rating'],"['Yolk Asian', 'Kitchen']"
"[""I'm writing this post right in front of the restaurant. We walked into the restaurant and one of the workers never looked up from his cellphone. We followed the arrow to the back area to order from the menu. No one asked if they could take our order. I noticed unclean tables and food left from earlier patrons still visible in the dining area. We walked out without any assistance from anyone. The worker that was seated out front was still engaged in his cellphone.""]",['Chuan R.'],['\n        5/28/2019\n    '],['1.0 star rating'],"['Yolk Asian', 'Kitchen']"
"['Decided to try something new today with my kids, we all had rice bowls. The Clemson bowl I had was fantastic! ', 'Already planning another trip over to try another dish!']",['Amanda W.'],['\n        4/5/2018\n    '],['5.0 star rating'],"['Yolk Asian', 'Kitchen']"
